@RELATION B

@ATTRIBUTE id STRING
@ATTRIBUTE value STRING
@ATTRIBUTE value2 STRING
@ATTRIBUTE value3 STRING

@DATA
707,707,204,204
708,708,205,205
709,709,206,206
710,710,207,207
711,711,208,208
712,712,209,209
713,713,210,210
714,714,211,211
715,715,212,212
716,716,213,213
717,717,214,214
718,718,215,215
719,719,216,216
720,720,217,217
721,721,218,218
722,722,219,219
723,723,220,220
724,724,221,221
725,725,222,222
726,726,223,223
727,727,224,224
728,728,225,225
729,729,226,226
730,730,227,227
731,731,228,228
732,732,229,229
733,733,230,230
734,734,231,231
735,735,232,232
736,736,233,233
737,737,234,234
738,738,235,235
739,739,236,236
740,740,237,237
741,741,238,238
742,742,239,239
743,743,240,240
744,744,241,241
745,745,242,242
746,746,243,243
747,747,244,244
748,748,245,245
749,749,246,246
750,750,247,247
751,751,248,248
752,752,249,249
753,753,250,250
754,754,0,0
755,755,1,1
756,756,2,2
757,757,3,3
758,758,4,4
759,759,5,5
760,760,6,6
761,761,7,7
762,762,8,8
763,763,9,9
764,764,10,10
765,765,11,11
766,766,12,12
767,767,13,13
768,768,14,14
769,769,15,15
770,770,16,16
771,771,17,17
772,772,18,18
773,773,19,19
774,774,20,20
775,775,21,21
776,776,22,22
777,777,23,23
778,778,24,24
779,779,25,25
780,780,26,26
781,781,27,27
782,782,28,28
783,783,29,29
784,784,30,30
785,785,31,31
786,786,32,32
787,787,33,33
788,788,34,34
789,789,35,35
790,790,36,36
791,791,37,37
792,792,38,38
793,793,39,39
794,794,40,40
795,795,41,41
796,796,42,42
797,797,43,43
798,798,44,44
799,799,45,45
800,800,46,46
801,801,47,47
802,802,48,48
803,803,49,49
804,804,50,50
805,805,51,51
806,806,52,52
807,807,53,53
808,808,54,54
809,809,55,55
810,810,56,56
811,811,57,57
812,812,58,58
813,813,59,59
814,814,60,60
815,815,61,61
816,816,62,62
817,817,63,63
818,818,64,64
819,819,65,65
820,820,66,66
821,821,67,67
822,822,68,68
823,823,69,69
824,824,70,70
825,825,71,71
826,826,72,72
827,827,73,73
828,828,74,74
829,829,75,75
830,830,76,76
831,831,77,77
832,832,78,78
833,833,79,79
834,834,80,80
835,835,81,81
836,836,82,82
837,837,83,83
838,838,84,84
839,839,85,85
840,840,86,86
841,841,87,87
842,842,88,88
843,843,89,89
844,844,90,90
845,845,91,91
846,846,92,92
847,847,93,93
848,848,94,94
849,849,95,95
850,850,96,96
851,851,97,97
852,852,98,98
853,853,99,99
854,854,100,100
855,855,101,101
856,856,102,102
857,857,103,103
858,858,104,104
859,859,105,105
860,860,106,106
861,861,107,107
862,862,108,108
863,863,109,109
864,864,110,110
865,865,111,111
866,866,112,112
867,867,113,113
868,868,114,114
869,869,115,115
870,870,116,116
871,871,117,117
872,872,118,118
873,873,119,119
874,874,120,120
875,875,121,121
876,876,122,122
877,877,123,123
878,878,124,124
879,879,125,125
880,880,126,126
881,881,127,127
882,882,128,128
883,883,129,129
884,884,130,130
885,885,131,131
886,886,132,132
887,887,133,133
888,888,134,134
889,889,135,135
890,890,136,136
891,891,137,137
892,892,138,138
893,893,139,139
894,894,140,140
895,895,141,141
896,896,142,142
897,897,143,143
898,898,144,144
899,899,145,145
900,900,146,146
901,901,147,147
902,902,148,148
903,903,149,149
904,904,150,150
905,905,151,151
906,906,152,152
907,907,153,153
908,908,154,154
909,909,155,155
910,910,156,156
911,911,157,157
912,912,158,158
913,913,159,159
914,914,160,160
915,915,161,161
916,916,162,162
917,917,163,163
918,918,164,164
919,919,165,165
920,920,166,166
921,921,167,167
922,922,168,168
923,923,169,169
924,924,170,170
925,925,171,171
926,926,172,172
927,927,173,173
928,928,174,174
929,929,175,175
930,930,176,176
931,931,177,177
932,932,178,178
933,933,179,179
934,934,180,180
935,935,181,181
936,936,182,182
937,937,183,183
938,938,184,184
939,939,185,185
940,940,186,186
941,941,187,187
942,942,188,188
943,943,189,189
944,944,190,190
945,945,191,191
946,946,192,192
947,947,193,193
948,948,194,194
949,949,195,195
950,950,196,196
951,951,197,197
952,952,198,198
953,953,199,199
954,954,200,200
955,955,201,201
956,956,202,202
957,957,203,203
958,958,204,204
959,959,205,205
960,960,206,206
961,961,207,207
962,962,208,208
963,963,209,209
964,964,210,210
965,965,211,211
966,966,212,212
967,967,213,213
968,968,214,214
969,969,215,215
970,970,216,216
971,971,217,217
972,972,218,218
973,973,219,219
974,974,220,220
975,975,221,221
976,976,222,222
977,977,223,223
978,978,224,224
979,979,225,225
980,980,226,226
981,981,227,227
982,982,228,228
983,983,229,229
984,984,230,230
985,985,231,231
986,986,232,232
987,987,233,233
988,988,234,234
989,989,235,235
990,990,236,236
991,991,237,237
992,992,238,238
993,993,239,239
994,994,240,240
995,995,241,241
996,996,242,242
997,997,243,243
998,998,244,244
999,999,245,245
1000,1000,246,246
1001,1001,247,247
1002,1002,248,248
1003,1003,249,249
1004,1004,250,250
1005,1005,0,0
1006,1006,1,1
1007,1007,2,2
1008,1008,3,3
1009,1009,4,4
1010,1010,5,5
1011,1011,6,6
1012,1012,7,7
1013,1013,8,8
1014,1014,9,9
1015,1015,10,10
1016,1016,11,11
1017,1017,12,12
1018,1018,13,13
1019,1019,14,14
1020,1020,15,15
1021,1021,16,16
1022,1022,17,17
1023,1023,18,18
1024,1024,19,19
1025,1025,20,20
1026,1026,21,21
1027,1027,22,22
1028,1028,23,23
1029,1029,24,24
1030,1030,25,25
1031,1031,26,26
1032,1032,27,27
1033,1033,28,28
1034,1034,29,29
1035,1035,30,30
1036,1036,31,31
1037,1037,32,32
1038,1038,33,33
1039,1039,34,34
1040,1040,35,35
1041,1041,36,36
1042,1042,37,37
1043,1043,38,38
1044,1044,39,39
1045,1045,40,40
1046,1046,41,41
1047,1047,42,42
1048,1048,43,43
1049,1049,44,44
1050,1050,45,45
1051,1051,46,46
1052,1052,47,47
1053,1053,48,48
1054,1054,49,49
1055,1055,50,50
1056,1056,51,51
1057,1057,52,52
1058,1058,53,53
1059,1059,54,54
1060,1060,55,55
1061,1061,56,56
1062,1062,57,57
1063,1063,58,58
1064,1064,59,59
1065,1065,60,60
1066,1066,61,61
1067,1067,62,62
1068,1068,63,63
1069,1069,64,64
1070,1070,65,65
1071,1071,66,66
1072,1072,67,67
1073,1073,68,68
1074,1074,69,69
1075,1075,70,70
1076,1076,71,71
1077,1077,72,72
1078,1078,73,73
1079,1079,74,74
1080,1080,75,75
1081,1081,76,76
1082,1082,77,77
1083,1083,78,78
1084,1084,79,79
1085,1085,80,80
1086,1086,81,81
1087,1087,82,82
1088,1088,83,83
1089,1089,84,84
1090,1090,85,85
1091,1091,86,86
1092,1092,87,87
1093,1093,88,88
1094,1094,89,89
1095,1095,90,90
1096,1096,91,91
1097,1097,92,92
1098,1098,93,93
1099,1099,94,94
1100,1100,95,95
1101,1101,96,96
1102,1102,97,97
1103,1103,98,98
1104,1104,99,99
1105,1105,100,100
1106,1106,101,101
1107,1107,102,102
1108,1108,103,103
1109,1109,104,104
1110,1110,105,105
1111,1111,106,106
1112,1112,107,107
1113,1113,108,108
1114,1114,109,109
1115,1115,110,110
1116,1116,111,111
1117,1117,112,112
1118,1118,113,113
1119,1119,114,114
1120,1120,115,115
1121,1121,116,116
1122,1122,117,117
1123,1123,118,118
1124,1124,119,119
1125,1125,120,120
1126,1126,121,121
1127,1127,122,122
1128,1128,123,123
1129,1129,124,124
1130,1130,125,125
1131,1131,126,126
1132,1132,127,127
1133,1133,128,128
1134,1134,129,129
1135,1135,130,130
1136,1136,131,131
1137,1137,132,132
1138,1138,133,133
1139,1139,134,134
1140,1140,135,135
1141,1141,136,136
1142,1142,137,137
1143,1143,138,138
1144,1144,139,139
1145,1145,140,140
1146,1146,141,141
1147,1147,142,142
1148,1148,143,143
1149,1149,144,144
1150,1150,145,145
1151,1151,146,146
1152,1152,147,147
1153,1153,148,148
1154,1154,149,149
1155,1155,150,150
1156,1156,151,151
1157,1157,152,152
1158,1158,153,153
1159,1159,154,154
1160,1160,155,155
1161,1161,156,156
1162,1162,157,157
1163,1163,158,158
1164,1164,159,159
1165,1165,160,160
1166,1166,161,161
1167,1167,162,162
1168,1168,163,163
1169,1169,164,164
1170,1170,165,165
1171,1171,166,166
1172,1172,167,167
1173,1173,168,168
1174,1174,169,169
1175,1175,170,170
1176,1176,171,171
1177,1177,172,172
1178,1178,173,173
1179,1179,174,174
1180,1180,175,175
1181,1181,176,176
1182,1182,177,177
1183,1183,178,178
1184,1184,179,179
1185,1185,180,180
1186,1186,181,181
1187,1187,182,182
1188,1188,183,183
1189,1189,184,184
1190,1190,185,185
1191,1191,186,186
1192,1192,187,187
1193,1193,188,188
1194,1194,189,189
1195,1195,190,190
1196,1196,191,191
1197,1197,192,192
1198,1198,193,193
1199,1199,194,194
1200,1200,195,195
1201,1201,196,196
1202,1202,197,197
1203,1203,198,198
1204,1204,199,199
1205,1205,200,200
1206,1206,201,201
1207,1207,202,202
1208,1208,203,203
1209,1209,204,204
1210,1210,205,205
1211,1211,206,206
1212,1212,207,207
1213,1213,208,208
1214,1214,209,209
1215,1215,210,210
1216,1216,211,211
1217,1217,212,212
1218,1218,213,213
1219,1219,214,214
1220,1220,215,215
1221,1221,216,216
1222,1222,217,217
1223,1223,218,218
1224,1224,219,219
1225,1225,220,220
1226,1226,221,221
1227,1227,222,222
1228,1228,223,223
1229,1229,224,224
1230,1230,225,225
1231,1231,226,226
1232,1232,227,227
1233,1233,228,228
1234,1234,229,229
1235,1235,230,230
1236,1236,231,231
1237,1237,232,232
1238,1238,233,233
1239,1239,234,234
1240,1240,235,235
1241,1241,236,236
1242,1242,237,237
1243,1243,238,238
1244,1244,239,239
1245,1245,240,240
1246,1246,241,241
1247,1247,242,242
1248,1248,243,243
1249,1249,244,244
1250,1250,245,245
1251,1251,246,246
1252,1252,247,247
1253,1253,248,248
1254,1254,249,249
1255,1255,250,250
1256,1256,0,0
1257,1257,1,1
1258,1258,2,2
1259,1259,3,3
1260,1260,4,4
1261,1261,5,5
1262,1262,6,6
1263,1263,7,7
1264,1264,8,8
1265,1265,9,9
1266,1266,10,10
1267,1267,11,11
1268,1268,12,12
1269,1269,13,13
1270,1270,14,14
1271,1271,15,15
1272,1272,16,16
1273,1273,17,17
1274,1274,18,18
1275,1275,19,19
1276,1276,20,20
1277,1277,21,21
1278,1278,22,22
1279,1279,23,23
1280,1280,24,24
1281,1281,25,25
1282,1282,26,26
1283,1283,27,27
1284,1284,28,28
1285,1285,29,29
1286,1286,30,30
1287,1287,31,31
1288,1288,32,32
1289,1289,33,33
1290,1290,34,34
1291,1291,35,35
1292,1292,36,36
1293,1293,37,37
1294,1294,38,38
1295,1295,39,39
1296,1296,40,40
1297,1297,41,41
1298,1298,42,42
1299,1299,43,43
1300,1300,44,44
1301,1301,45,45
1302,1302,46,46
1303,1303,47,47
1304,1304,48,48
1305,1305,49,49
1306,1306,50,50
1307,1307,51,51
1308,1308,52,52
1309,1309,53,53
1310,1310,54,54
1311,1311,55,55
1312,1312,56,56
1313,1313,57,57
1314,1314,58,58
1315,1315,59,59
1316,1316,60,60
1317,1317,61,61
1318,1318,62,62
1319,1319,63,63
1320,1320,64,64
1321,1321,65,65
1322,1322,66,66
1323,1323,67,67
1324,1324,68,68
1325,1325,69,69
1326,1326,70,70
1327,1327,71,71
1328,1328,72,72
1329,1329,73,73
1330,1330,74,74
1331,1331,75,75
1332,1332,76,76
1333,1333,77,77
1334,1334,78,78
1335,1335,79,79
1336,1336,80,80
1337,1337,81,81
1338,1338,82,82
1339,1339,83,83
1340,1340,84,84
1341,1341,85,85
1342,1342,86,86
1343,1343,87,87
1344,1344,88,88
1345,1345,89,89
1346,1346,90,90
1347,1347,91,91
1348,1348,92,92
1349,1349,93,93
1350,1350,94,94
1351,1351,95,95
1352,1352,96,96
1353,1353,97,97
1354,1354,98,98
1355,1355,99,99
1356,1356,100,100
1357,1357,101,101
1358,1358,102,102
1359,1359,103,103
1360,1360,104,104
1361,1361,105,105
1362,1362,106,106
1363,1363,107,107
1364,1364,108,108
1365,1365,109,109
1366,1366,110,110
1367,1367,111,111
1368,1368,112,112
1369,1369,113,113
1370,1370,114,114
1371,1371,115,115
1372,1372,116,116
1373,1373,117,117
1374,1374,118,118
1375,1375,119,119
1376,1376,120,120
1377,1377,121,121
1378,1378,122,122
1379,1379,123,123
1380,1380,124,124
1381,1381,125,125
1382,1382,126,126
1383,1383,127,127
1384,1384,128,128
1385,1385,129,129
1386,1386,130,130
1387,1387,131,131
1388,1388,132,132
1389,1389,133,133
1390,1390,134,134
1391,1391,135,135
1392,1392,136,136
1393,1393,137,137
1394,1394,138,138
1395,1395,139,139
1396,1396,140,140
1397,1397,141,141
1398,1398,142,142
1399,1399,143,143
1400,1400,144,144
1401,1401,145,145
1402,1402,146,146
1403,1403,147,147
1404,1404,148,148
1405,1405,149,149
1406,1406,150,150
1407,1407,151,151
1408,1408,152,152
1409,1409,153,153
1410,1410,154,154
1411,1411,155,155
1412,1412,156,156
1413,1413,157,157
1414,1414,158,158
1415,1415,159,159
1416,1416,160,160
1417,1417,161,161
1418,1418,162,162
1419,1419,163,163
1420,1420,164,164
1421,1421,165,165
1422,1422,166,166
1423,1423,167,167
1424,1424,168,168
1425,1425,169,169
1426,1426,170,170
1427,1427,171,171
1428,1428,172,172
1429,1429,173,173
1430,1430,174,174
1431,1431,175,175
1432,1432,176,176
1433,1433,177,177
1434,1434,178,178
1435,1435,179,179
1436,1436,180,180
1437,1437,181,181
1438,1438,182,182
1439,1439,183,183
1440,1440,184,184
1441,1441,185,185
1442,1442,186,186
1443,1443,187,187
1444,1444,188,188
1445,1445,189,189
1446,1446,190,190
1447,1447,191,191
1448,1448,192,192
1449,1449,193,193
1450,1450,194,194
1451,1451,195,195
1452,1452,196,196
1453,1453,197,197
1454,1454,198,198
1455,1455,199,199
1456,1456,200,200
1457,1457,201,201
1458,1458,202,202
1459,1459,203,203
1460,1460,204,204
1461,1461,205,205
1462,1462,206,206
1463,1463,207,207
1464,1464,208,208
1465,1465,209,209
1466,1466,210,210
1467,1467,211,211
1468,1468,212,212
1469,1469,213,213
1470,1470,214,214
1471,1471,215,215
1472,1472,216,216
1473,1473,217,217
1474,1474,218,218
1475,1475,219,219
1476,1476,220,220
1477,1477,221,221
1478,1478,222,222
1479,1479,223,223
1480,1480,224,224
1481,1481,225,225
1482,1482,226,226
1483,1483,227,227
1484,1484,228,228
1485,1485,229,229
1486,1486,230,230
1487,1487,231,231
1488,1488,232,232
1489,1489,233,233
1490,1490,234,234
1491,1491,235,235
1492,1492,236,236
1493,1493,237,237
1494,1494,238,238
1495,1495,239,239
1496,1496,240,240
1497,1497,241,241
1498,1498,242,242
1499,1499,243,243
1500,1500,244,244
1501,1501,245,245
1502,1502,246,246
1503,1503,247,247
1504,1504,248,248
1505,1505,249,249
1506,1506,250,250
1507,1507,0,0
1508,1508,1,1
1509,1509,2,2
1510,1510,3,3
1511,1511,4,4
1512,1512,5,5
1513,1513,6,6
1514,1514,7,7
1515,1515,8,8
1516,1516,9,9
1517,1517,10,10
1518,1518,11,11
1519,1519,12,12
1520,1520,13,13
1521,1521,14,14
1522,1522,15,15
1523,1523,16,16
1524,1524,17,17
1525,1525,18,18
1526,1526,19,19
1527,1527,20,20
1528,1528,21,21
1529,1529,22,22
1530,1530,23,23
1531,1531,24,24
1532,1532,25,25
1533,1533,26,26
1534,1534,27,27
1535,1535,28,28
1536,1536,29,29
1537,1537,30,30
1538,1538,31,31
1539,1539,32,32
1540,1540,33,33
1541,1541,34,34
1542,1542,35,35
1543,1543,36,36
1544,1544,37,37
1545,1545,38,38
1546,1546,39,39
1547,1547,40,40
1548,1548,41,41
1549,1549,42,42
1550,1550,43,43
1551,1551,44,44
1552,1552,45,45
1553,1553,46,46
1554,1554,47,47
1555,1555,48,48
1556,1556,49,49
1557,1557,50,50
1558,1558,51,51
1559,1559,52,52
1560,1560,53,53
1561,1561,54,54
1562,1562,55,55
1563,1563,56,56
1564,1564,57,57
1565,1565,58,58
1566,1566,59,59
1567,1567,60,60
1568,1568,61,61
1569,1569,62,62
1570,1570,63,63
1571,1571,64,64
1572,1572,65,65
1573,1573,66,66
1574,1574,67,67
1575,1575,68,68
1576,1576,69,69
1577,1577,70,70
1578,1578,71,71
1579,1579,72,72
1580,1580,73,73
1581,1581,74,74
1582,1582,75,75
1583,1583,76,76
1584,1584,77,77
